b0,b1,b2,loss_prob,depolar_prob,success_prob,success_prob_error,reencoding_error_prob,reencoding_error_prob_error,fidelity_to_depolar_channel,computation_time,L_0[km]
4,12,5,0.0537798307891879,3.33e-05,0.999992,2.828415811015059e-06,3.2000256001252225e-05,6.531946518224795e-06,1.0,535459.2111224758,1.1055999999999995
4,12,5,0.0692690185377581,3.33e-05,0.999973,5.196082274175421e-06,3.3334233357384946e-05,6.666763333172398e-06,1.0,535916.5405693541,1.4357000000000002
4,12,5,0.0573874968064391,3.33e-05,0.999985,3.87295429872339e-06,3.4667186673775774e-05,6.798706280479406e-06,1.0,536336.4747821491,1.1819999999999966
4,12,5,0.0533539358938786,3.33e-05,0.999993,2.6457420509188e-06,2.666685333374552e-05,5.962830050614835e-06,1.0,536965.4252248406,1.0966
4,12,5,0.0611691927675868,3.33e-05,0.999982,4.2426025031812745e-06,2.933386134218452e-05,6.25393145614964e-06,1.0,536964.0761469288,1.262399999999999
4,12,5,0.0569915164050345,3.33e-05,0.999987,3.605527839304529e-06,3.600046800555923e-05,6.9281997642815686e-06,1.0,537154.1672248249,1.1735999999999995
4,12,5,0.0528710232689322,3.33e-05,0.999991,2.999986499969623e-06,2.000018000125614e-05,5.163985540485814e-06,1.0,537236.3133134295,1.0863999999999994
4,12,5,0.0651974981751146,3.33e-05,0.999984,3.999967999872e-06,3.4667221341821985e-05,6.798713079206081e-06,1.0,537310.0601999273,1.3483999999999967
4,12,5,0.0609344557248709,3.33e-05,0.999989,3.3166065488688857e-06,3.200035200334739e-05,6.5319661140447394e-06,1.0,537600.3292058064,1.2573999999999976
4,12,5,0.064987143948241,3.33e-05,0.999979,4.582527577658424e-06,2.4000504009968893e-05,5.656922131870623e-06,1.0,537836.4446857015,1.3438999999999999
4,12,5,0.0649731186502107,3.33e-05,0.999977,4.795776370933076e-06,2.6667280013770167e-05,5.962925457135913e-06,1.0,538160.6296802443,1.343599999999999
4,12,5,0.0573309383595112,3.33e-05,0.999988,3.464080830465713e-06,3.600043200457925e-05,6.928192836092192e-06,1.0,538522.0407638159,1.1808000000000005
4,12,5,0.0690875082996999,3.33e-05,0.999961,6.244876219750079e-06,2.80010920421514e-05,6.110275068436689e-06,1.0,538730.1880133492,1.431799999999999
4,13,4,0.0968033724100182,0.000333,0.99979,1.4489855071738988e-05,0.000326735281076,2.0871793601932505e-05,1.0,465474.168181892,2.0362999999999998
4,13,4,0.1021659254783158,0.000333,0.99971,1.7026916925855955e-05,0.0003574369900605,2.183101244130223e-05,1.0,465986.9662022502,2.1553999999999993
4,13,4,0.0930518527353766,0.000167,0.999822,1.3340476603180256e-05,0.000162695626487,1.4728871218616737e-05,1.0,471368.22399594286,1.9533999999999996
4,13,4,0.0957640988205124,0.000333,0.999799,1.417602197374143e-05,0.0003320667454149,2.104125428394841e-05,1.0,471839.3204538883,2.0132999999999996
4,13,4,0.0958771212441111,0.000333,0.99976,1.5490074241268182e-05,0.0003067402843341,2.0223528723870457e-05,1.0,473125.850692804,2.015799999999997
4,13,4,0.1008586260701995,0.000333,0.99974,1.6122419173312674e-05,0.0003134148211858,2.04425255920264e-05,1.0,473627.0945256276,2.1262999999999987
4,13,4,0.0977963424667115,0.000333,0.999766,1.5295268680216115e-05,0.0003600842597166,2.191107089695648e-05,1.0,473735.1148629943,2.058299999999999
4,13,4,0.0931878847548097,0.000333,0.999796,1.4281399931379274e-05,0.0003307341364311,2.0999033768878976e-05,1.0,473920.7605769844,1.9563999999999961
4,13,4,0.0945425559980367,0.000333,0.999775,1.499831240506745e-05,0.0002853975477814,1.9507286642450632e-05,1.0,475261.4449112469,1.9862999999999997
4,13,4,0.0928250873540689,0.000333,0.999787,1.459296512022146e-05,0.0002827268874927,1.9415703524331995e-05,1.0,476422.0281438455,1.9484000000000001
4,14,4,0.0960669671141358,0.000167,0.999761,1.545777729817583e-05,0.00016003824914,1.4608549718291098e-05,1.0,512038.5978049955,2.0199999999999965
4,14,4,0.1040673175285938,0.000333,0.999675,1.8024826628847236e-05,0.0003401105359246,2.1295831304012825e-05,1.0,512357.5974690037,2.1977999999999973
4,14,4,0.108687336457376,0.000333,0.999592,2.0194888858322547e-05,0.0003348032663998,2.112994139927402e-05,1.0,513828.50339943264,2.301199999999997
4,14,4,0.1235976589038856,0.000333,0.999243,2.750321710273181e-05,0.0003616070698844,2.196308629687258e-05,1.0,517256.9659835391,2.6386000000000003
4,14,4,0.1015012823755516,0.000333,0.999734,1.6307337121676232e-05,0.0003360893997801,2.116897364046838e-05,1.0,517834.8592426495,2.140599999999998
5,11,4,0.0827727330745853,0.000167,0.99993,8.366307429206748e-06,0.0001706786141688,1.508503508282467e-05,1.0,502902.1488375829,1.728000000000001
